id,name,img,artist,genre(s),mc rating,usr rating
/music/one-good-thing/lou-rhodes,One Good Thing,http://static.metacritic.com/images/products/music/9/d25f0ef72116c13956292b6180ceb276-98.jpg,Lou Rhodes,"Folk,Singer-Songwriter",56,
/music/theyesandeye/lou-rhodes,Theyesandeye,http://static.metacritic.com/images/products/music/1/2e042df26ee35d039cd3a37d735d59b3-98.jpg,Lou Rhodes,Pop/Rock,68,
/music/here-come-the-choppers/loudon-wainwright-iii,Here Come The Choppers,http://static.metacritic.com/images/products/music/2/10142deb4b5137461bc2d1d7fb92c877-98.jpg,Loudon Wainwright III,"Folk,Singer-Songwriter",73,6.7
/music/recovery/loudon-wainwright-iii,Recovery,http://static.metacritic.com/images/products/music/7/9c181e703cdd878821958da090ef187c-98.jpg,Loudon Wainwright III,"Folk,Singer-Songwriter",67,5.4
/music/older-than-my-old-man-now/loudon-wainwright-iii,Older Than My Old Man Now,http://static.metacritic.com/images/products/music/8/64f2b1fe0f647725b1088feca4ac344f-98.jpg,Loudon Wainwright III,"Folk,Pop/Rock,Contemporary",79,
/music/havent-got-the-blues-yet/loudon-wainwright-iii,Haven't Got the Blues (Yet),http://static.metacritic.com/images/products/music/3/d1ffed8ef1da0421a7b8502aab4ba088-98.jpg,Loudon Wainwright III,Pop/Rock,77,
/music/youll-be-safe-forever/mark-van-hoen,You'll Be Safe Forever,http://static.metacritic.com/images/products/music/0/3456d77dc81151aa8403dcfe59d48fac-98.jpg,Louis Sherman,"Electronic,Experimental Ambient,Ambient Techno",68,
/music/the-best-little-secrets-are-kept/louis-xiv,The Best Little Secrets Are Kept,http://static.metacritic.com/images/products/music/7/dd4f52dff57f5490ef3a4ab1148c06bf-98.jpg,Louis XIV,"Indie,Rock",62,6.5
/music/slick-dogs-and-ponies/louis-xiv,Slick Dogs And Ponies,http://static.metacritic.com/images/products/music/3/bc9235bb7a309cfc2dbcb0b7dedf3caa-98.jpg,Louis XIV,"Rock,Punk",37,5.9
/music/black-beauty-remastered/love,Black Beauty [Remastered],http://static.metacritic.com/images/products/music/3/562025a96817ae975d3a67a34b1b52aa-98.jpg,Love,"Pop/Rock,Hard Rock,Psychedelic/Garage",81,
/music/laughters-fifth/love-as-laughter,Laughter's Fifth,http://static.metacritic.com/images/products/music/4/be468723b08fe5e792c329af5d2fa8d2-98.jpg,Love As Laughter,"Indie,Rock",78,8.4
/music/holy/love-as-laughter,Holy,http://static.metacritic.com/images/products/music/7/1572a33dda38f5d8eb7ab3b501024cbc-98.jpg,Love As Laughter,"Indie,Rock",73,
/music/a-hundred-things-keep-me-up-at-night/love-is-all,A Hundred Things Keep Me Up At Night,http://static.metacritic.com/images/products/music/4/20b2082b2a6643b4a513a28b550bcb72-98.jpg,Love Is All,"Indie,Rock",78,9
